StockEndDate,assignmentClass,benefitsEligibilityStartDate,benefitsEndDate,bonusPayExpirationDate,createdBy,createdDateTime,createdOn,eligibleForSalContinuation,eligibleForStock,employeeFirstEmployment,endDate,firstDateWorked,includeAllRecords,initialOptionGrant,initialStockGrant,isContingentWorker,isECRecord,jobNumber,lastDateWorked,lastModifiedBy,ElastModifiedDateTime,lastModifiedOn,okToRehire,originalStartDate,payrollEndDate,personIdExternal,prevEmployeeId,professionalServiceDate,regretTermination,salaryEndDate,seniorityDate,serviceDate,startDate,userID
,ST,,,,,,,,,,,,,,,,,,,,,,,20120928,,P00607,,,,,,,20120928,E100832
,ST,,,,,,,,,,20161224,,,,,,,,,,,,,20140211,,P00762,,,,,,,20140211,E101108
,ST,,,,,,,,,,,,,,,,,,,,,,,20140819,,P00869,,,,,,,20140819,E101299
,ST,,,,,,,,,,,,,,,,,,,,,,,20140107,,P00774,,,,,,,20140107,E101128
,ST,,,,,,,,,,,,,,,,,,,,,,,20141104,,P00925,,,,,,,20141104,E101396
,ST,,,,,,,,,,,,,,,,,,,,,,,20100506,,P00327,,,,,,,20100506,E100421
,ST,,,,,,,,,,,,,,,,,,,,,,,20051101,,P00013,,,,,,,20051101,E100015
,ST,,,,,,,,,,20140531,,,,,,,,,,,,,20121017,,P00168,,,,,,,20121017,E100206
,ST,,,,,,,,,,,,,,,,,,,,,,,20060412,,P00067,,,,,,,20060412,E100080
,ST,,,,,,,,,,20160223,,,,,,,,,,,,,20110802,,P00471,,,,,,,20110802,E100610
,ST,,,,,,,,,,20150120,,,,,,,,,,,,,20130901,,P00739,,,,,,,20130901,E101069
,ST,,,,,,,,,,,,,,,,,,,,,,,20080719,,P00198,,,,,,,20080719,E100245
,ST,,,,,,,,,,,,,,,,,,,,,,,20130102,,P00650,,,,,,,20130102,E100910
,ST,,,,,,,,,,20151205,,,,,,,,,,,,,20131101,,P00745,,,,,,,20131101,E101086
,ST,,,,,,,,,,,,,,,,,,,,,,,20140812,,P00906,,,,,,,20140812,E101360
,ST,,,,,,,,,,,,,,,,,,,,,,,20131203,,P00747,,,,,,,20131203,E101091
,ST,,,,,,,,,,,,,,,,,,,,,,,20091117,,P00285,,,,,,,20091117,E100359
,ST,,,,,,,,,,,,,,,,,,,,,,,20090310,,P00248,,,,,,,20090310,E100311
,ST,,,,,,,,,,,,,,,,,,,,,,,20100612,,P00332,,,,,,,20100612,E100428
,ST,,,,,,,,,,,,,,,,,,,,,,,20130910,,P00740,,,,,,,20130910,E101070
,ST,,,,,,,,,,,,,,,,,,,,,,,20141028,,P00937,,,,,,,20141028,E101411
,ST,,,,,,,,,,20161120,,,,,,,,,,,,,20120608,,P00571,,,,,,,20120608,E100774
,ST,,,,,,,,,,,,,,,,,,,,,,,20140620,,P00877,,,,,,,20140620,E101313
,ST,,,,,,,,,,20150831,,,,,,,,,,,,,20140128,,P00794,,,,,,,20140128,E101153
,ST,,,,,,,,,,,,,,,,,,,,,,,20121017,,P00628,,,,,,,20121017,E100867
,ST,,,,,,,,,,,,,,,,,,,,,,,20070724,,P00159,,,,,,,20070724,E100194
,ST,,,,,,,,,,20160105,,,,,,,,,,,,,20121128,,P00635,,,,,,,20121128,E100878
,ST,,,,,,,,,,20161231,,,,,,,,,,,,,20030813,,P00035,,,,,,,20030813,E100041
,ST,,,,,,,,,,20150131,,,,,,,,,,,,,20121107,,P00632,,,,,,,20121107,E100872
,ST,,,,,,,,,,,,,,,,,,,,,,,20140318,,P00824,,,,,,,20140318,E101211
,ST,,,,,,,,,,20150117,,,,,,,,,,,,,20130220,,P00653,,,,,,,20130220,E100914
,ST,,,,,,,,,,20161029,,,,,,,,,,,,,20120307,,P00533,,,,,,,20120307,E100710
,ST,,,,,,,,,,20160507,,,,,,,,,,,,,20070515,,P00145,,,,,,,20070515,E100176
,ST,,,,,,,,,,20160223,,,,,,,,,,,,,20110830,,P00474,,,,,,,20110830,E100613
,ST,,,,,,,,,,,,,,,,,,,,,,,20081129,,P00232,,,,,,,20081129,E100288
,ST,,,,,,,,,,,,,,,,,,,,,,,20130820,,P00729,,,,,,,20130820,E101057
,ST,,,,,,,,,,,,,,,,,,,,,,,20130501,,P00680,,,,,,,20130501,E100960
,ST,,,,,,,,,,,,,,,,,,,,,,,20070418,,P00140,,,,,,,20070418,E100170
,ST,,,,,,,,,,,,,,,,,,,,,,,20071206,,P00108,,,,,,,20041104,E100125
,ST,,,,,,,,,,,,,,,,,,,,,,,20040310,,P00010,,,,,,,20040310,E100012
,ST,,,,,,,,,,,,,,,,,,,,,,,20140923,,P00578,,,,,,,20140620,E100784
,ST,,,,,,,,,,,,,,,,,,,,,,,20131203,,P00760,,,,,,,20131203,E101106
,ST,,,,,,,,,,20150219,,,,,,,,,,,,,20130801,,P00705,,,,,,,20130619,E101010
,ST,,,,,,,,,,20160227,,,,,,,,,,,,,20140211,,P00802,,,,,,,20140211,E101167
,ST,,,,,,,,,,,,,,,,,,,,,,,20100202,,P00310,,,,,,,20100202,E100398
,ST,,,,,,,,,,,,,,,,,,,,,,,20140902,,P00886,,,,,,,20140902,E101322
,ST,,,,,,,,,,,,,,,,,,,,,,,20111004,,P00459,,,,,,,20111004,E100597
,ST,,,,,,,,,,20160206,,,,,,,,,,,,,20131105,,P00754,,,,,,,20131105,E101099
,ST,,,,,,,,,,,,,,,,,,,,,,,20140808,,P00902,,,,,,,20140808,E101350
,ST,,,,,,,,,,20160828,,,,,,,,,,,,,20130903,,P00736,,,,,,,20130903,E101066
,ST,,,,,,,,,,,,,,,,,,,,,,,20080529,,P00192,,,,,,,20100824,E100238
,ST,,,,,,,,,,20150801,,,,,,,,,,,,,20140902,,P00888,,,,,,,20140902,E101326
,ST,,,,,,,,,,20150108,,,,,,,,,,,,,20120115,,P00516,,,,,,,20120115,E100685
,ST,,,,,,,,,,,,,,,,,,,,,,,20050126,,P00084,,,,,,,20050126,E100098
,ST,,,,,,,,,,,,,,,,,,,,,,,20120301,,P00349,,,,,,,20100708,E100451
,ST,,,,,,,,,,,,,,,,,,,,,,,20120222,,P00558,,,,,,,20120222,E100752
,ST,,,,,,,,,,,,,,,,,,,,,,,20140819,,P00890,,,,,,,20140819,E101331
,ST,,,,,,,,,,20150430,,,,,,,,,,,,,20030701,,P00078,,,,,,,20031201,E100091
,ST,,,,,,,,,,,,,,,,,,,,,,,20130305,,P00672,,,,,,,20130305,E100948
,ST,,,,,,,,,,,,,,,,,,,,,,,20110118,,P00403,,,,,,,20110118,E100517
,ST,,,,,,,,,,,,,,,,,,,,,,,20111018,,P00455,,,,,,,20111018,E100592
,ST,,,,,,,,,,,,,,,,,,,,,,,20080530,,P00193,,,,,,,20080530,E100239
,ST,,,,,,,,,,,,,,,,,,,,,,,20061017,,P00125,,,,,,,20061017,E100148
,ST,,,,,,,,,,,,,,,,,,,,,,,20110920,,P00485,,,,,,,20110920,E100630
,ST,,,,,,,,,,,,,,,,,,,,,,,20081101,,P00235,,,,,,,20081101,E100294
,ST,,,,,,,,,,,,,,,,,,,,,,,20030181,,P00029,,,,,,,20031201,E100035
,ST,,,,,,,,,,,,,,,,,,,,,,,20091103,,P00294,,,,,,,20091103,E100377
,ST,,,,,,,,,,,,,,,,,,,,,,,19991010,,P00086,,,,,,,20030621,E100100
,ST,,,,,,,,,,20150103,,,,,,,,,,,,,20110712,,P00429,,,,,,,20110712,E100557
,ST,,,,,,,,,,,,,,,,,,,,,,,20060926,,P00117,,,,,,,20060926,E100139
,ST,,,,,,,,,,,,,,,,,,,,,,,20091010,,P00625,,,,,,,20091010,E100859
,ST,,,,,,,,,,,,,,,,,,,,,,,20120207,,P00505,,,,,,,20120207,E100664
,ST,,,,,,,,,,20151002,,,,,,,,,,,,,20130186,,P00661,,,,,,,20130186,E100926
,ST,,,,,,,,,,,,,,,,,,,,,,,20141021,,P00919,,,,,,,20141021,E101390
,ST,,,,,,,,,,,,,,,,,,,,,,,20121212,,P00566,,,,,,,20121212,E100766
,ST,,,,,,,,,,,,,,,,,,,,,,,20130730,,P00460,,,,,,,20130730,E100598
,ST,,,,,,,,,,,,,,,,,,,,,,,20130103,,P00637,,,,,,,20130103,E100886
,ST,,,,,,,,,,20150108,,,,,,,,,,,,,20050322,,P00104,,,,,,,20060926,E100119
,ST,,,,,,,,,,,,,,,,,,,,,,,20101019,,P00375,,,,,,,20101019,E100482
,ST,,,,,,,,,,,,,,,,,,,,,,,20140701,,P00790,,,,,,,20140114,E101148
,ST,,,,,,,,,,,,,,,,,,,,,,,20120905,,P00522,,,,,,,20120905,E100696
,ST,,,,,,,,,,,,,,,,,,,,,,,20140826,,P00879,,,,,,,20140826,E101315
,ST,,,,,,,,,,,,,,,,,,,,,,,20110615,,P00433,,,,,,,20110615,E100562
,ST,,,,,,,,,,20160730,,,,,,,,,,,,,20100701,,P00351,,,,,,,20100701,E100453
,ST,,,,,,,,,,,,,,,,,,,,,,,20111101,,P00490,,,,,,,20111101,E100639
,ST,,,,,,,,,,,,,,,,,,,,,,,20051102,,P00061,,,,,,,20051102,E100074
,ST,,,,,,,,,,,,,,,,,,,,,,,20130901,,P00616,,,,,,,20120725,E100846
,ST,,,,,,,,,,20150430,,,,,,,,,,,,,20080517,,P00189,,,,,,,20080517,E100235
,ST,,,,,,,,,,20160430,,,,,,,,,,,,,20121003,,P00623,,,,,,,20121003,E100857
,ST,,,,,,,,,,,,,,,,,,,,,,,20121029,,P00606,,,,,,,20121029,E100830
,ST,,,,,,,,,,,,,,,,,,,,,,,20161123,,P02074,,,,,,,20161123,E102077
,ST,,,,,,,,,,,,,,,,,,,,,,,20161116,,P02075,,,,,,,20161116,E102067
,ST,,,,,,,,,,,,,,,,,,,,,,,20161116,,P02076,,,,,,,20161116,E102069
,ST,,,,,,,,,,,,,,,,,,,,,,,20161123,,P02077,,,,,,,20161123,E102075
,ST,,,,,,,,,,,,,,,,,,,,,,,20161123,,P02078,,,,,,,20161123,E102074
,ST,,,,,,,,,,,,,,,,,,,,,,,20161123,,P02079,,,,,,,20161123,E102078
,ST,,,,,,,,,,,,,,,,,,,,,,,20161123,,P02080,,,,,,,20161123,E102076
,ST,,,,,,,,,,20151219,,,,,,,,,,,,,20070530,,P00146,,,,,,,20070530,E100177
,ST,,,,,,,,,,,,,,,,,,,,,,,20130601,,P00636,,,,,,,20121125,E100883
,ST,,,,,,,,,,20150321,,,,,,,,,,,,,20120418,,P00535,,,,,,,20120418,E100713
,ST,,,,,,,,,,,,,,,,,,,,,,,20090818,,P00289,,,,,,,20090818,E100369
,ST,,,,,,,,,,20160131,,,,,,,,,,,,,20130301,,P00639,,,,,,,20130301,E100889
,ST,,,,,,,,,,,,,,,,,,,,,,,20150609,,P00903,,,,,,,20150609,E101351
,ST,,,,,,,,,,,,,,,,,,,,,,,20040617,,P00002,,,,,,,20040617,E100003
,ST,,,,,,,,,,20161014,,,,,,,,,,,,,20060926,,P00115,,,,,,,20060926,E100136
,ST,,,,,,,,,,,,,,,,,,,,,,,20100914,,P00362,,,,,,,20100914,E100469
,ST,,,,,,,,,,,,,,,,,,,,,,,20110104,,P00329,,,,,,,20100507,E100424
,ST,,,,,,,,,,20161218,,,,,,,,,,,,,20140218,,P00769,,,,,,,20140218,E101119
,ST,,,,,,,,,,20150120,,,,,,,,,,,,,20140501,,P00854,,,,,,,20140501,E101257
,ST,,,,,,,,,,,,,,,,,,,,,,,20120501,,P00419,,,,,,,20110510,E100543
,ST,,,,,,,,,,,,,,,,,,,,,,,20140401,,P00820,,,,,,,20140401,E101192
,ST,,,,,,,,,,,,,,,,,,,,,,,20140102,,P00789,,,,,,,20140102,E101147
,ST,,,,,,,,,,,,,,,,,,,,,,,20031202,,P00040,,,,,,,20031202,E100047
,ST,,,,,,,,,,,,,,,,,,,,,,,20141111,,P00900,,,,,,,20141111,E101347
,ST,,,,,,,,,,,,,,,,,,,,,,,20140401,,P00835,,,,,,,20140401,E101227
,ST,,,,,,,,,,20141030,,,,,,,,,,,,,20120613,,P00577,,,,,,,20120613,E100783
,ST,,,,,,,,,,,,,,,,,,,,,,,20110927,,P00483,,,,,,,20110927,E100628
,ST,,,,,,,,,,,,,,,,,,,,,,,20160302,,P00696,,,,,,,20160302,E100993
,ST,,,,,,,,,,20150829,,,,,,,,,,,,,20140617,,P00843,,,,,,,20140617,E101239
,ST,,,,,,,,,,,,,,,,,,,,,,,20130611,,P00652,,,,,,,20130611,E100912
,ST,,,,,,,,,,,,,,,,,,,,,,,20140204,,P00788,,,,,,,20140204,E101146
,ST,,,,,,,,,,,,,,,,,,,,,,,20070629,,P00147,,,,,,,20070629,E100178
,ST,,,,,,,,,,,,,,,,,,,,,,,20071204,,P00167,,,,,,,20071204,E100204
,ST,,,,,,,,,,20150829,,,,,,,,,,,,,20080917,,P00216,,,,,,,20080917,E100267
,ST,,,,,,,,,,,,,,,,,,,,,,,20110324,,P00415,,,,,,,20110324,E100536
,ST,,,,,,,,,,,,,,,,,,,,,,,20110120,,P00408,,,,,,,20110120,E100525
,ST,,,,,,,,,,,,,,,,,,,,,,,20090714,,P00286,,,,,,,20090714,E100361
,ST,,,,,,,,,,,,,,,,,,,,,,,20131105,,P00763,,,,,,,20131105,E101109
,ST,,,,,,,,,,20150811,,,,,,,,,,,,,20050126,,P00068,,,,,,,20050126,E100081
,ST,,,,,,,,,,,,,,,,,,,,,,,20070905,,P00163,,,,,,,20070905,E100198
,ST,,,,,,,,,,,,,,,,,,,,,,,20141125,,P00871,,,,,,,20140605,E101302
,ST,,,,,,,,,,,,,,,,,,,,,,,20120111,,P00402,,,,,,,20110222,E100515
,ST,,,,,,,,,,,,,,,,,,,,,,,20110705,,P00264,,,,,,,20110705,E100333
,ST,,,,,,,,,,20160610,,,,,,,,,,,,,20140528,,P00865,,,,,,,20140528,E101283
,ST,,,,,,,,,,,,,,,,,,,,,,,20070313,,P00138,,,,,,,20070313,E100168
,ST,,,,,,,,,,,,,,,,,,,,,,,20140501,,P00709,,,,,,,20130531,E101019
,ST,,,,,,,,,,20150627,,,,,,,,,,,,,20130305,,P00634,,,,,,,20130305,E100876
,ST,,,,,,,,,,,,,,,,,,,,,,,20120801,,P00579,,,,,,,20120801,E100785
,ST,,,,,,,,,,,,,,,,,,,,,,,20140318,,P00816,,,,,,,20140318,E101188
,ST,,,,,,,,,,,,,,,,,,,,,,,20170301,,P02058,,,,,,,20170301,E102066
,ST,,,,,,,,,,,,,,,,,,,,,,,20170321,,P02059,,,,,,,20170321,E102068
,ST,,,,,,,,,,20161102,,,,,,,,,,,,,20161102,,P02060,,,,,,,20161102,E102057
,ST,,,,,,,,,,,,,,,,,,,,,,,20161102,,P02061,,,,,,,20161102,E102058
,ST,,,,,,,,,,,,,,,,,,,,,,,20170502,,P02062,,,,,,,20170502,E102056
,ST,,,,,,,,,,,,,,,,,,,,,,,20161103,,P02063,,,,,,,20161103,E102060
,ST,,,,,,,,,,,,,,,,,,,,,,,20161103,,P02064,,,,,,,20161103,E102059
,ST,,,,,,,,,,,,,,,,,,,,,,,20161109,,P02065,,,,,,,20161109,E102064
,ST,,,,,,,,,,,,,,,,,,,,,,,20170104,,P02066,,,,,,,20170104,E102070
,ST,,,,,,,,,,20161126,,,,,,,,,,,,,20081029,,P00221,,,,,,,20081029,E100275
,ST,,,,,,,,,,,,,,,,,,,,,,,20051018,,P00026,,,,,,,20051018,E100032
,ST,,,,,,,,,,,,,,,,,,,,,,,20120321,,P00538,,,,,,,20120321,E100718
,ST,,,,,,,,,,20160320,,,,,,,,,,,,,20110906,,P00411,,,,,,,20110906,E100530
,ST,,,,,,,,,,,,,,,,,,,,,,,20110507,,P00425,,,,,,,20110507,E100549
,ST,,,,,,,,,,20160131,,,,,,,,,,,,,20081115,,P00228,,,,,,,20081115,E100284
,ST,,,,,,,,,,20151017,,,,,,,,,,,,,20130806,,P00725,,,,,,,20130806,E101045
,ST,,,,,,,,,,,,,,,,,,,,,,,20080924,,P00209,,,,,,,20080924,E100257
,ST,,,,,,,,,,20170212,,,,,,,,,,,,,20060615,,P00099,,,,,,,20060615,E100114
,ST,,,,,,,,,,,,,,,,,,,,,,,20090527,,P00266,,,,,,,20090527,E100335
,ST,,,,,,,,,,20150430,,,,,,,,,,,,,20141101,,P00911,,,,,,,20141101,E101372
,ST,,,,,,,,,,,,,,,,,,,,,,,20121115,,P00499,,,,,,,20111206,E100655
,ST,,,,,,,,,,,,,,,,,,,,,,,20110111,,P00387,,,,,,,20110111,E100496
,ST,,,,,,,,,,,,,,,,,,,,,,,20121010,,P00501,,,,,,,20120114,E100657
,ST,,,,,,,,,,,,,,,,,,,,,,,20110323,,P00400,,,,,,,20110226,E100513
,ST,,,,,,,,,,,,,,,,,,,,,,,20141101,,P00914,,,,,,,20140916,E101378
,ST,,,,,,,,,,,,,,,,,,,,,,,20140107,,P00793,,,,,,,20140107,E101152
,ST,,,,,,,,,,,,,,,,,,,,,,,20111001,,P00491,,,,,,,20111001,E100641
,ST,,,,,,,,,,,,,,,,,,,,,,,20100504,,P00334,,,,,,,20100504,E100431
,ST,,,,,,,,,,20170103,,,,,,,,,,,,,20120829,,P00575,,,,,,,20120829,E100780
,ST,,,,,,,,,,20161231,,,,,,,,,,,,,20110104,,P00376,,,,,,,20110104,E100483
,ST,,,,,,,,,,,,,,,,,,,,,,,20111102,,P00449,,,,,,,20111102,E100583
,ST,,,,,,,,,,,,,,,,,,,,,,,20060411,,P00053,,,,,,,20060411,E100065
,ST,,,,,,,,,,20160401,,,,,,,,,,,,,20120822,,P00612,,,,,,,20120822,E100839
,ST,,,,,,,,,,,,,,,,,,,,,,,20100112,,P00315,,,,,,,20100112,E100403
,ST,,,,,,,,,,20161217,,,,,,,,,,,,,20130514,,P00676,,,,,,,20130514,E100954
,ST,,,,,,,,,,,,,,,,,,,,,,,20130402,,P00684,,,,,,,20130402,E100966
,ST,,,,,,,,,,,,,,,,,,,,,,,20120502,,P00354,,,,,,,20120502,E100456
,ST,,,,,,,,,,20160501,,,,,,,,,,,,,20140501,,P00850,,,,,,,20140501,E101250
,ST,,,,,,,,,,,,,,,,,,,,,,,20110712,,P00458,,,,,,,20110712,E100595
,ST,,,,,,,,,,,,,,,,,,,,,,,20050802,,P00071,,,,,,,20050802,E100084
,ST,,,,,,,,,,,,,,,,,,,,,,,20141118,,P00950,,,,,,,20141118,E101439
,ST,,,,,,,,,,,,,,,,,,,,,,,20110802,,P00439,,,,,,,20110802,E100570
,ST,,,,,,,,,,,,,,,,,,,,,,,20120620,,P00574,,,,,,,20120620,E100779
,ST,,,,,,,,,,,,,,,,,,,,,,,20050329,,P00069,,,,,,,20050329,E100082
