"OPTIONID","LABEL","LOCALE"
"336","Colombia","en_US"
"336","Colombia","en_GB"
"337","Comoros","en_US"
"337","Comoros","en_GB"
"338","Congo","en_US"
"338","Congo","en_GB"
"the Democratic Republic of the""","""Congo","339"
"the Democratic Republic of the""","""Congo","339"
"340","Cook Islands","en_US"
"340","Cook Islands","en_GB"
"341","Costa Rica","en_US"
"341","Costa Rica","en_GB"
"342","Croatia","en_US"
"342","Croatia","en_GB"
"343","Cuba","en_US"
"343","Cuba","en_GB"
"344","Cura�ao","en_US"
"344","Curacao","en_GB"
"345","Cyprus","en_US"
"345","Cyprus","en_GB"
"346","Czech Republic","en_US"
"346","Czech Republic","en_GB"
"347","C�te d'Ivoire","en_US"
"347","C�te d�Ivoire","en_GB"
"348","Denmark","en_US"
"348","Denmark","en_GB"
"349","Djibouti","en_US"
"349","Djibouti","en_GB"
"350","Dominica","en_US"
"350","Dominica","en_GB"
"351","Dominican Republic","en_US"
"351","Dominican Republic","en_GB"
"352","Ecuador","en_US"
"352","Ecuador","en_GB"
"353","Egypt","en_US"
"353","Egypt","en_GB"
"354","El Salvador","en_US"
"354","El Salvador","en_GB"
"355","Equatorial Guinea","en_US"
"355","Equatorial Guinea","en_GB"
"356","Eritrea","en_US"
"356","Eritrea","en_GB"
"357","Estonia","en_US"
"357","Estonia","en_GB"
"358","Ethiopia","en_US"
"358","Ethiopia","en_GB"
"359","Falkland Islands (Malvinas)","en_US"
"359","Falkland Islands (Malvinas)","en_GB"
"360","Faroe Islands","en_US"
"360","Faroe Islands","en_GB"
"361","Fiji","en_US"
"361","Fiji","en_GB"
"362","Finland","en_US"
"362","Finland","en_GB"
"363","France","en_US"
"363","France","en_GB"
"364","French Guiana","en_US"
"364","French Guiana","en_GB"
"365","French Polynesia","en_US"
"365","French Polynesia","en_GB"
"366","French Southern Territories","en_US"
"366","French Southern Territories","en_GB"
"367","Gabon","en_US"
"367","Gabon","en_GB"
"368","Gambia","en_US"
"368","Gambia","en_GB"
"369","Georgia","en_US"
"369","Georgia","en_GB"
"370","Germany","en_US"
"370","Germany","en_GB"
"371","Ghana","en_US"
"371","Ghana","en_GB"
"372","Gibraltar","en_US"
"372","Gibraltar","en_GB"
"373","Greece","en_US"
"373","Greece","en_GB"
"374","Greenland","en_US"
"374","Greenland","en_GB"
"375","Grenada","en_US"
"375","Grenada","en_GB"
"376","Guadeloupe","en_US"
"376","Guadeloupe","en_GB"
"377","Guam","en_US"
"377","Guam","en_GB"
"378","Guatemala","en_US"
"378","Guatemala","en_GB"
"379","Guernsey","en_US"
"379","Guernsey","en_GB"
"380","Guinea","en_US"
"380","Guinea","en_GB"
"381","Guinea-Bissau","en_US"
"381","Guinea-Bissau","en_GB"
"382","Guyana","en_US"
"382","Guyana","en_GB"
"383","Haiti","en_US"
"383","Haiti","en_GB"
"384","Heard Island and McDonald Islands","en_US"
"384","Heard Island and McDonald Islands","en_GB"
"385","Holy See (Vatican City State)","en_US"
"385","Holy See (Vatican City State)","en_GB"
"386","Honduras","en_US"
"386","Honduras","en_GB"
"387","Hong Kong","en_US"
"387","Hong Kong","en_GB"
"388","Hungary","en_US"
"388","Hungary","en_GB"
"389","Iceland","en_US"
"389","Iceland","en_GB"
"390","India","en_US"
"390","India","en_GB"
"391","Indonesia","en_US"
"391","Indonesia","en_GB"
"Islamic Republic of""","""Iran","392"
"Islamic Republic of""","""Iran","392"
"393","Iraq","en_US"
"393","Iraq","en_GB"
"394","Ireland","en_US"
"394","Ireland","en_GB"
"395","Isle of Man","en_US"
"395","Isle of Man","en_GB"
"396","Israel","en_US"
"396","Israel","en_GB"
"397","Italy","en_US"
"397","Italy","en_GB"
"398","Jamaica","en_US"
"398","Jamaica","en_GB"
"399","Japan","en_US"
"399","Japan","en_GB"
"400","Jersey","en_US"
"400","Jersey","en_GB"
"401","Jordan","en_US"
"401","Jordan","en_GB"
"402","Kazakhstan","en_US"
"402","Kazakhstan","en_GB"
"403","Kenya","en_US"
"403","Kenya","en_GB"
"404","Kiribati","en_US"
"404","Kiribati","en_GB"
"Democratic People's Republic of""","""Korea","405"
"Democratic People's Republic of""","""Korea","405"
"Republic of""","""Korea","406"
"Republic of""","""Korea","406"
"407","Kosovo","en_US"
"407","Kosovo","en_GB"
"408","Kuwait","en_US"
"408","Kuwait","en_GB"
"409","Kyrgyzstan","en_US"
"409","Kyrgyzstan","en_GB"
"410","Lao People's Democratic Republic","en_US"
"410","Lao People's Democratic Republic","en_GB"
"411","Latvia","en_US"
"411","Latvia","en_GB"
"412","Lebanon","en_US"
"412","Lebanon","en_GB"
"413","Lesotho","en_US"
"413","Lesotho","en_GB"
"414","Liberia","en_US"
"414","Liberia","en_GB"
"415","Libyan Arab Jamahiriya","en_US"
"415","Libyan Arab Jamahiriya","en_GB"
"416","Liechtenstein","en_US"
"416","Liechtenstein","en_GB"
"417","Lithuania","en_US"
"417","Lithuania","en_GB"
"418","Luxembourg","en_US"
"418","Luxembourg","en_GB"
"419","Macao","en_US"
"419","Macao","en_GB"
"the former Yugoslav Republic of""","""Macedonia","420"
"the former Yugoslav Republic of""","""Macedonia","420"
"421","Madagascar","en_US"
"421","Madagascar","en_GB"
"422","Malawi","en_US"
"422","Malawi","en_GB"
"423","Malaysia","en_US"
"423","Malaysia","en_GB"
"424","Maldives","en_US"
"424","Maldives","en_GB"
"425","Mali","en_US"
"425","Mali","en_GB"
"426","Malta","en_US"
"426","Malta","en_GB"
"427","Marshall Islands","en_US"
"427","Marshall Islands","en_GB"
"428","Martinique","en_US"
"428","Martinique","en_GB"
"429","Mauritania","en_US"
"429","Mauritania","en_GB"
"430","Mauritius","en_US"
"430","Mauritius","en_GB"
"431","Mayotte","en_US"
"431","Mayotte","en_GB"
"432","Mexico","en_US"
"432","Mexico","en_GB"
"Federated States of""","""Micronesia","433"
"Federated States of""","""Micronesia","433"
"Republic of""","""Moldova","434"
"Republic of""","""Moldova","434"
"435","Monaco","en_US"
"435","Monaco","en_GB"
"436","Mongolia","en_US"
"436","Mongolia","en_GB"
"437","Montenegro","en_US"
"437","Montenegro","en_GB"
"438","Montserrat","en_US"
"438","Montserrat","en_GB"
"439","Morocco","en_US"
"439","Morocco","en_GB"
"440","Mozambique","en_US"
"440","Mozambique","en_GB"
"441","Myanmar","en_US"
"441","Myanmar","en_GB"
"442","Namibia","en_US"
"442","Namibia","en_GB"
"443","Nauru","en_US"
"443","Nauru","en_GB"
"444","Nepal","en_US"
"444","Nepal","en_GB"
"445","Netherlands","en_US"
"445","Netherlands","en_GB"
"446","Netherlands Antilles","en_US"
"446","Netherlands Antilles","en_GB"
"447","New Caledonia","en_US"
"447","New Caledonia","en_GB"
"448","New Zealand","en_US"
"448","New Zealand","en_GB"
"449","Nicaragua","en_US"
"449","Nicaragua","en_GB"
"450","Niger","en_US"
"450","Niger","en_GB"
"451","Nigeria","en_US"
"451","Nigeria","en_GB"
"452","Niue","en_US"
"452","Niue","en_GB"
"453","Norfolk Island","en_US"
"453","Norfolk Island","en_GB"
"454","Northern Mariana Islands","en_US"
"454","Northern Mariana Islands","en_GB"
"455","Norway","en_US"
"455","Norway","en_GB"
"456","Oman","en_US"
"456","Oman","en_GB"
"457","Pakistan","en_US"
"457","Pakistan","en_GB"
"458","Palau","en_US"
"458","Palau","en_GB"
"459","Palestinian Territory","en_US"
"459","Palestinian Territory","en_GB"
"460","Panama","en_US"
"460","Panama","en_GB"
"461","Papua New Guinea","en_US"
"461","Papua New Guinea","en_GB"
"462","Paraguay","en_US"
"462","Paraguay","en_GB"
"463","Peru","en_US"
"463","Peru","en_GB"
"464","Philippines","en_US"
"464","Philippines","en_GB"
"465","Pitcairn","en_US"
"465","Pitcairn","en_GB"
"466","Poland","en_US"
"466","Poland","en_GB"
"467","Portugal","en_US"
"467","Portugal","en_GB"
"468","Puerto Rico","en_US"
"468","Puerto Rico","en_GB"
"469","Qatar","en_US"
"469","Qatar","en_GB"
"470","Romania","en_US"
"470","Romania","en_GB"
"471","Russian Federation","en_US"
"471","Russian Federation","en_GB"
"472","Rwanda","en_US"
"472","Rwanda","en_GB"
"473","R�union","en_US"
"473","R�union","en_GB"
"474","Saint Barth�lemy","en_US"
"474","Saint Barth�lemy","en_GB"
"Ascension and Tristan da Cunha""","""Saint Helena","475"
"Ascension and Tristan da Cunha""","""Saint Helena","475"
"476","Saint Kitts and Nevis","en_US"
"476","Saint Kitts and Nevis","en_GB"
"477","Saint Lucia","en_US"
"477","Saint Lucia","en_GB"
"478","Saint Martin (French part)","en_US"
"478","Saint Martin (French part)","en_GB"
"479","Saint Pierre and Miquelon","en_US"
"479","Saint Pierre and Miquelon","en_GB"
"480","Saint Vincent and the Grenadines","en_US"
"480","Saint Vincent and the Grenadines","en_GB"
"481","Samoa","en_US"
"481","Samoa","en_GB"
"482","San Marino","en_US"
"482","San Marino","en_GB"
"483","Sao Tome and Principe","en_US"
"483","Sao Tome and Principe","en_GB"
"484","Saudi Arabia","en_US"
"484","Saudi Arabia","en_GB"
"485","Senegal","en_US"
"485","Senegal","en_GB"
"486","Serbia","en_US"
"486","Serbia","en_GB"
"487","Seychelles","en_US"
"487","Seychelles","en_GB"
"488","Sierra Leone","en_US"
"488","Sierra Leone","en_GB"
"489","Singapore","en_US"
"489","Singapore","en_GB"
"490","Slovakia","en_US"
"490","Slovakia","en_GB"
"491","Slovenia","en_US"
"491","Slovenia","en_GB"
"492","Solomon Islands","en_US"
"492","Solomon Islands","en_GB"
"493","Somalia","en_US"
"493","Somalia","en_GB"
"494","South Africa","en_US"
"494","South Africa","en_GB"
"495","South Georgia and the South Sandwich Islands","en_US"
"495","South Georgia and the South Sandwich Islands","en_GB"
"496","South Sudan","en_US"
"496","South Sudan","en_GB"
"497","Spain","en_US"
"497","Spain","en_GB"
"498","Sri Lanka","en_US"
"498","Sri Lanka","en_GB"
"499","Sudan","en_US"
"499","Sudan","en_GB"
"500","Suriname","en_US"
"500","Suriname","en_GB"
"501","Svalbard and Jan Mayen","en_US"
"501","Svalbard and Jan Mayen","en_GB"
"502","Swaziland","en_US"
"502","Swaziland","en_GB"
"503","Sweden","en_US"
"503","Sweden","en_GB"
"504","Switzerland","en_US"
"504","Switzerland","en_GB"
"505","Syrian Arab Republic","en_US"
"505","Syrian Arab Republic","en_GB"
"506","Taiwan","en_US"
"506","Taiwan","en_GB"
"507","Tajikistan","en_US"
"507","Tajikistan","en_GB"
"United Republic of""","""Tanzania","508"
"United Republic of""","""Tanzania","508"
"509","Thailand","en_US"
"509","Thailand","en_GB"
"510","Timor-Leste","en_US"
"510","Timor-Leste","en_GB"
"511","Togo","en_US"
"511","Togo","en_GB"
"512","Tokelau","en_US"
"512","Tokelau","en_GB"
"513","Tonga","en_US"
"513","Tonga","en_GB"
"514","Trinidad and Tobago","en_US"
"514","Trinidad and Tobago","en_GB"
"515","Tunisia","en_US"
"515","Tunisia","en_GB"
"516","Turkey","en_US"
"516","Turkey","en_GB"
"517","Turkmenistan","en_US"
"517","Turkmenistan","en_GB"
"518","Turks and Caicos Islands","en_US"
"518","Turks and Caicos Islands","en_GB"
"519","Tuvalu","en_US"
"519","Tuvalu","en_GB"
"520","Uganda","en_US"
"520","Uganda","en_GB"
"521","Ukraine","en_US"
"521","Ukraine","en_GB"
"522","United Arab Emirates","en_US"
"522","United Arab Emirates","en_GB"
"523","United Kingdom","en_US"
"523","United Kingdom","en_GB"
"524","United States","en_US"
"524","United States","en_GB"
"525","United States Minor Outlying Islands","en_US"
"525","United States Minor Outlying Islands","en_GB"
"526","Uruguay","en_US"
"526","Uruguay","en_GB"
"527","Uzbekistan","en_US"
"527","Uzbekistan","en_GB"
"528","Vanuatu","en_US"
"528","Vanuatu","en_GB"
"Bolivarian Republic of""","""Venezuela","529"
"Bolivarian Republic of""","""Venezuela","529"
"530","Viet Nam","en_US"
"530","Viet Nam","en_GB"
"British""","""Virgin Islands","531"
"British""","""Virgin Islands","531"
"U.S.""","""Virgin Islands","532"
"U.S.""","""Virgin Islands","532"
"533","Wallis and Futuna","en_US"
"533","Wallis and Futuna","en_GB"
"534","Western Sahara","en_US"
"534","Western Sahara","en_GB"
"535","Yemen","en_US"
"535","Yemen","en_GB"
"536","Zambia","en_US"
"536","Zambia","en_GB"
"537","Zimbabwe","en_US"
"537","Zimbabwe","en_GB"
"538","�land Islands","en_US"
"538","�land Islands","en_GB"
"539","Unemployed","en_US"
"539","Unemployed","en_GB"
"540","Employed","en_US"
"540","Employed","en_GB"
"541","18 hours or more","en_US"
"541","18 hours or more","en_GB"
"542","Less than 18 hours in partial retirement","en_US"
"542","Less than 18 hours in partial retirement","en_GB"
"543","Less than 18 hours with permission from employment agency","en_US"
"543","Less than 18 hours with permission from employment agency","en_GB"
"544","Less than 18 hours without permission from employment agency","en_US"
"544","Less than 18 hours without permission from employment agency","en_GB"
"545","Zurich","en_US"
"545","Zurich","en_GB"
"546","Bern","en_US"
"546","Bern","en_GB"
"547","Lucerne","en_US"
"547","Lucerne","en_GB"
"548","Uri","en_US"
"548","Uri","en_GB"
"549","Schwyz","en_US"
"549","Schwyz","en_GB"
"550","Obwalden","en_US"
"550","Obwalden","en_GB"
"551","Nidwalden","en_US"
"551","Nidwalden","en_GB"
"552","Glarus","en_US"
"552","Glarus","en_GB"
"553","Zug","en_US"
"553","Zug","en_GB"
"554","Fribourg","en_US"
"554","Fribourg","en_GB"
"555","Solothurn","en_US"
"555","Solothurn","en_GB"
"556","Basel-Stadt","en_US"
"556","Basel-Stadt","en_GB"
"557","Basel-Landschaft","en_US"
"557","Basel-Landschaft","en_GB"
"558","Schaffhausen","en_US"
"558","Schaffhausen","en_GB"
"559","Appenzell Ausserrhodden","en_US"
"559","Appenzell Ausserrhodden","en_GB"
"560","Appenzell Innerrhodden","en_US"
"560","Appenzell Innerrhodden","en_GB"
"561","St. Gallen","en_US"
"561","St. Gallen","en_GB"
"562","Graub?nden","en_US"
"562","Graub?nden","en_GB"
"563","Aargau","en_US"
"563","Aargau","en_GB"
"564","Thurgau","en_US"
"564","Thurgau","en_GB"
"565","Ticino","en_US"
"565","Ticino","en_GB"
"566","Vaud","en_US"
"566","Vaud","en_GB"
"567","Geneva","en_US"
"567","Geneva","en_GB"
"568","Jura","en_US"
"568","Jura","en_GB"
"569","Neuchatel","en_US"
"569","Neuchatel","en_GB"
"570","Valais","en_US"
"570","Valais","en_GB"
"571","Exempt","en_US"
"571","Exempt","en_GB"
"572","Nonexempt","en_US"
"572","Nonexempt","en_GB"
"573","No FLSA Required","en_US"
"573","No FLSA Required","en_GB"
"574","Officials and Administrators","en_US"
"574","Officials and Administrators","en_GB"
"575","Professionals","en_US"
"575","Professionals","en_GB"
"576","Technicians","en_US"
"576","Technicians","en_GB"
"577","Protective Service","en_US"
"577","Protective Service","en_GB"
"578","Paraprofessionals","en_US"
"578","Paraprofessionals","en_GB"
"579","Office/Clerical","en_US"
"579","Office/Clerical","en_GB"
"580","Skilled Craft","en_US"
"580","Skilled Craft","en_GB"
"581","Service Maintenance","en_US"
"581","Service Maintenance","en_GB"
"582","No EEO-4 Reporting","en_US"
"582","No EEO-4 Reporting","en_GB"
"583","Not Submitted","en_US"
"583","Not Submitted","en_GB"
"584","Pending Candidate Completion","en_US"
"584","Pending Candidate Completion","en_GB"
"585","Pending Background Checking Completion","en_US"
"585","Pending Background Checking Completion","en_GB"
"586","Complete","en_US"
"586","Complete","en_GB"
"587","Awaiting Sign Off","en_US"
"587","Awaiting Sign Off","en_GB"
"588","2003","en_US"
"588","2003","en_GB"
"589","2004","en_US"
"589","2004","en_GB"
"590","2005","en_US"
"590","2005","en_GB"
"591","2006","en_US"
"591","2006","en_GB"
"592","2007","en_US"
"592","2007","en_GB"
"593","2008","en_US"
"593","2008","en_GB"
"594","2009","en_US"
"594","2009","en_GB"
"595","2010","en_US"
"595","2010","en_GB"
"596","2011","en_US"
"596","2011","en_GB"
"597","2012","en_US"
"597","2012","en_GB"
"598","2013","en_US"
"598","2013","en_GB"
"599","2014","en_US"
"599","2014","en_GB"
"600","2015","en_US"
"600","2015","en_GB"
"601","2018","en_US"
"601","2018","en_GB"
"602","2017","en_US"
"602","2017","en_GB"
"603","2016","en_US"
"603","2016","en_GB"
"604","Not Submitted","en_US"
"604","Not Submitted","en_GB"
"605","Submitted - With Employee","en_US"
"605","Submitted - With Employee","en_GB"
"606","Complete","en_US"
"606","Complete","en_GB"
"607","Awaiting Doctor Report","en_US"
"607","Awaiting Doctor Report","en_GB"
"608","Awaiting Medical","en_US"
"608","Awaiting Medical","en_GB"
"609","Buckinghamshire","en_US"
"609","Buckinghamshire","en_GB"
"610","Cambridgeshire","en_US"
"610","Cambridgeshire","en_GB"
"611","Cumbria","en_US"
"611","Cumbria","en_GB"
"612","Derbyshire","en_US"
"612","Derbyshire","en_GB"
"613","Devon","en_US"
"613","Devon","en_GB"
"614","Dorset","en_US"
"614","Dorset","en_GB"
"615","East Sussex","en_US"
"615","East Sussex","en_GB"
"616","Essex","en_US"
"616","Essex","en_GB"
"617","Gloucestershire","en_US"
"617","Gloucestershire","en_GB"
"618","Hampshire","en_US"
"618","Hampshire","en_GB"
"619","Hertfordshire","en_US"
"619","Hertfordshire","en_GB"
"620","Kent","en_US"
"620","Kent","en_GB"
"621","Lancashire","en_US"
"621","Lancashire","en_GB"
"622","Leicestershire","en_US"
"622","Leicestershire","en_GB"
"623","Lincolnshire","en_US"
"623","Lincolnshire","en_GB"
"624","Norfolk","en_US"
"624","Norfolk","en_GB"
"625","North Yorkshire","en_US"
"625","North Yorkshire","en_GB"
"626","Northamptonshire","en_US"
"626","Northamptonshire","en_GB"
"627","Nottinghamshire","en_US"
"627","Nottinghamshire","en_GB"
"628","Oxfordshire","en_US"
"628","Oxfordshire","en_GB"
"629","Somerset","en_US"
"629","Somerset","en_GB"
"630","Staffordshire","en_US"
"630","Staffordshire","en_GB"
"631","Suffolk","en_US"
"631","Suffolk","en_GB"
"632","Surrey","en_US"
"632","Surrey","en_GB"
"633","Warwickshire","en_US"
"633","Warwickshire","en_GB"
"634","West Sussex","en_US"
"634","West Sussex","en_GB"
"635","Worcestershire","en_US"
"635","Worcestershire","en_GB"
"636","Barking and Dagenham","en_US"
"636","Barking and Dagenham","en_GB"
"637","Barnet","en_US"
"637","Barnet","en_GB"
"638","Bexley","en_US"
"638","Bexley","en_GB"
"639","Brent","en_US"
"639","Brent","en_GB"
"640","Bromley","en_US"
"640","Bromley","en_GB"
"641","Camden","en_US"
"641","Camden","en_GB"
"642","Croydon","en_US"
"642","Croydon","en_GB"
"643","Ealing","en_US"
"643","Ealing","en_GB"
"644","Enfield","en_US"
"644","Enfield","en_GB"
"645","Greenwich","en_US"
"645","Greenwich","en_GB"
"646","Hackney","en_US"
"646","Hackney","en_GB"
"647","Hammersmith and Fulham","en_US"
"647","Hammersmith and Fulham","en_GB"
"648","Haringey","en_US"
"648","Haringey","en_GB"
"649","Harrow","en_US"
"649","Harrow","en_GB"
"650","Havering","en_US"
"650","Havering","en_GB"
"651","Hillingdon","en_US"
"651","Hillingdon","en_GB"
"652","Hounslow","en_US"
"652","Hounslow","en_GB"
"653","Islington","en_US"
"653","Islington","en_GB"
"654","Kensington and Chelsea","en_US"
"654","Kensington and Chelsea","en_GB"
"655","Kingston upon Thames","en_US"
"655","Kingston upon Thames","en_GB"
"656","Lambeth","en_US"
"656","Lambeth","en_GB"
"657","Lewisham","en_US"
"657","Lewisham","en_GB"
"658","Merton","en_US"
"658","Merton","en_GB"
"659","Newham","en_US"
"659","Newham","en_GB"
"660","Redbridge","en_US"
"660","Redbridge","en_GB"
"661","Richmond upon Thames","en_US"
"661","Richmond upon Thames","en_GB"
"662","Southwark","en_US"
"662","Southwark","en_GB"
"663","Sutton","en_US"
"663","Sutton","en_GB"
"664","Tower Hamlets","en_US"
"664","Tower Hamlets","en_GB"
"665","Waltham Forest","en_US"
"665","Waltham Forest","en_GB"
"666","Wandsworth","en_US"
"666","Wandsworth","en_GB"
"667","Westminster","en_US"
"667","Westminster","en_GB"
"668","Barnsley","en_US"
"668","Barnsley","en_GB"
"669","Birmingham","en_US"
"669","Birmingham","en_GB"
"670","Bolton","en_US"
"670","Bolton","en_GB"
"671","Bradford","en_US"
"671","Bradford","en_GB"
"672","Bury","en_US"
"672","Bury","en_GB"
"673","Calderdale","en_US"
"673","Calderdale","en_GB"
"674","Coventry","en_US"
"674","Coventry","en_GB"
"675","Doncaster","en_US"
"675","Doncaster","en_GB"
"676","Dudley","en_US"
"676","Dudley","en_GB"
"677","Gateshead","en_US"
"677","Gateshead","en_GB"
"678","Kirklees","en_US"
"678","Kirklees","en_GB"
"679","Knowsley","en_US"
"679","Knowsley","en_GB"
"680","Leeds","en_US"
"680","Leeds","en_GB"
"681","Liverpool","en_US"
"681","Liverpool","en_GB"
"682","Manchester","en_US"
"682","Manchester","en_GB"
"683","Newcastle upon Tyne","en_US"
"683","Newcastle upon Tyne","en_GB"
"684","North Tyneside","en_US"
"684","North Tyneside","en_GB"
"685","Oldham","en_US"
"685","Oldham","en_GB"
"686","Rochdale","en_US"
"686","Rochdale","en_GB"
"687","Rotherham","en_US"
"687","Rotherham","en_GB"
"688","St Helens","en_US"
"688","St Helens","en_GB"
"689","Salford","en_US"
"689","Salford","en_GB"
"690","Sandwell","en_US"
"690","Sandwell","en_GB"
"691","Sefton","en_US"
"691","Sefton","en_GB"
"692","Sheffield","en_US"
"692","Sheffield","en_GB"
"693","Solihull","en_US"
"693","Solihull","en_GB"
"694","South Tyneside","en_US"
"694","South Tyneside","en_GB"
"695","Stockport","en_US"
"695","Stockport","en_GB"
"696","Sunderland","en_US"
"696","Sunderland","en_GB"
"697","Tameside","en_US"
"697","Tameside","en_GB"
"698","Trafford","en_US"
"698","Trafford","en_GB"
"699","Wakefield","en_US"
"699","Wakefield","en_GB"
"700","Walsall","en_US"
"700","Walsall","en_GB"
"701","Wigan","en_US"
"701","Wigan","en_GB"
"702","Wirral","en_US"
"702","Wirral","en_GB"
"703","Wolverhampton","en_US"
"703","Wolverhampton","en_GB"
"704","Bath and North East Somerset","en_US"
"704","Bath and North East Somerset","en_GB"
"705","Blackburn with Darwen","en_US"
"705","Blackburn with Darwen","en_GB"
"706","Bedford","en_US"
"706","Bedford","en_GB"
"707","Blackpool","en_US"
"707","Blackpool","en_GB"
"708","Bournemouth","en_US"
"708","Bournemouth","en_GB"
"709","Bracknell Forest","en_US"
"709","Bracknell Forest","en_GB"
"710","Brighton and Hove","en_US"
"710","Brighton and Hove","en_GB"
"City of""","""Bristol","711"
"City of""","""Bristol","711"
"712","Central Bedfordshire","en_US"
"712","Central Bedfordshire","en_GB"
"713","Cheshire East","en_US"
"713","Cheshire East","en_GB"
"714","Cheshire West and Chester","en_US"
"714","Cheshire West and Chester","en_GB"
"715","Cornwall","en_US"
"715","Cornwall","en_GB"
"716","Darlington","en_US"
"716","Darlington","en_GB"
"717","Derby","en_US"
"717","Derby","en_GB"
"County""","""Durham","718"
"County""","""Durham","718"
"719","East Riding of Yorkshire","en_US"
"719","East Riding of Yorkshire","en_GB"
"720","Halton","en_US"
"720","Halton","en_GB"
"721","Hartlepool","en_US"
"721","Hartlepool","en_GB"
"722","Herefordshire","en_US"
"722","Herefordshire","en_GB"
"723","Isle of Wight","en_US"
"723","Isle of Wight","en_GB"
"724","Kingston upon Hull","en_US"
"724","Kingston upon Hull","en_GB"
"725","Leicester","en_US"
"725","Leicester","en_GB"
"726","Luton","en_US"
"726","Luton","en_GB"
"727","Medway","en_US"
"727","Medway","en_GB"
"728","Middlesbrough","en_US"
"728","Middlesbrough","en_GB"
"729","Milton Keynes","en_US"
"729","Milton Keynes","en_GB"
"730","North East Lincolnshire","en_US"
"730","North East Lincolnshire","en_GB"
"731","North Lincolnshire","en_US"
"731","North Lincolnshire","en_GB"
"732","North Somerset","en_US"
"732","North Somerset","en_GB"
"733","Northumberland","en_US"
"733","Northumberland","en_GB"
"734","Nottingham","en_US"
"734","Nottingham","en_GB"
"735","Peterborough","en_US"
"735","Peterborough","en_GB"
"736","Plymouth","en_US"
"736","Plymouth","en_GB"
"737","Poole","en_US"
"737","Poole","en_GB"
"738","Portsmouth","en_US"
"738","Portsmouth","en_GB"
"739","Reading","en_US"
"739","Reading","en_GB"
"740","Redcar and Cleveland","en_US"
"740","Redcar and Cleveland","en_GB"
"741","Rutland","en_US"
"741","Rutland","en_GB"
"742","Shropshire","en_US"
"742","Shropshire","en_GB"
"743","Slough","en_US"
"743","Slough","en_GB"
"744","South Gloucestershire","en_US"
"744","South Gloucestershire","en_GB"
"745","Southampton","en_US"
"745","Southampton","en_GB"
"746","Southend-on-Sea","en_US"
"746","Southend-on-Sea","en_GB"
"747","Stockton-on-Tees","en_US"
"747","Stockton-on-Tees","en_GB"
"748","Stoke-on-Trent","en_US"
"748","Stoke-on-Trent","en_GB"
