"EMPLOYEE_ID","EMP_PAYCOMP_RECUR_ID","COMPENSATION_ID","PAY_COMPONENT_ICODE","CURRENCY","PAYCOMPVALUE","FREQUENCY","CUSTOM_NUM10","EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","TRANSACTION_SEQUENCE_NUMBER"
"E101994","27155","18205","81","GBP","0","42",,"20160824","99991231","1"
"E101995","27157","18206","81","USD","63000","42",,"20160824","99991231","1"
"E101996","27159","18207","81","USD","180000","42",,"20160810","99991231","1"
"E101997","27161","18208","81","USD","63000","42",,"20160824","20161206","1"
"E101998","27163","18209","81","USD","59000","42",,"20160824","20161206","1"
"E101999","27165","18210","81","USD","63000","42",,"20160824","20161206","1"
"E102000","27167","18211","81","USD","300000","42",,"20160817","99991231","1"
"E102001","27168","18212","81","GBP","23500","42",,"20160914","99991231","1"
"E102002","27170","18213","81","GBP","33000","42",,"20160901","99991231","1"
"E102003","27173","18214","81","GBP","0","42",,"20160914","99991231","1"
"E102004","27175","18215","81","USD","177450","42",,"20160824","99991231","1"
"E102005","27177","18216","81","GBP","0","42",,"20160901","99991231","1"
"E102006","27179","18217","81","SGD","600000","42",,"20180101","99991231","1"
"E102007","27181","18218","81","GBP","52500","42",,"20160907","20161009","1"
"E102007","27183","18219","81","GBP","52500","42",,"20161102","99991231","1"
"E102008","27185","18220","81","GBP","125000","42",,"20160928","99991231","1"
"E102009","27187","18221","81","GBP","80000","42",,"20160928","99991231","1"
"E102010","27189","18222","81","USD","75000","42",,"20160831","20161217","1"
"E102011","27191","18223","81","USD","55000","42",,"20160831","99991231","1"
"E102012","27193","18224","81","GBP","24000","42",,"20160914","99991231","1"
"E102013","27195","18225","81","USD","150000","42",,"20160903","99991231","1"
"E102014","27197","18226","81","USD","70000","42",,"20160908","99991231","1"
"E102015","27199","18227","81","USD","90000","42",,"20160908","20161217","1"
"E102016","27201","18228","81","GBP","60000","42",,"20161123","99991231","1"
"E102017","27203","18229","81","GBP","80000","42",,"20170104","99991231","1"
"E102018","27205","18230","81","GBP","65000","42",,"20170104","99991231","1"
"E102019","27207","18231","81","USD","235000","42",,"20160914","20161220","1"
"E102020","27209","18232","81","GBP","20000","42",,"20160921","99991231","1"
"E102021","27211","18233","81","USD","120000","42",,"20160921","99991231","1"
"E102022","27213","18234","81","GBP","45000","42",,"20160925","99991231","1"
"E102023","27216","18235","81","GBP","40000","42",,"20161007","99991231","1"
"E102024","27218","18236","81","GBP","50000","42",,"20160929","99991231","1"
"E102025","27220","18237","81","BMD","435000","42",,"20160908","99991231","1"
"E102026","27222","18238","81","BMD","60000","42",,"20160810","99991231","1"
"E102027","27224","18239","81","BMD","260000","42",,"20160904","99991231","1"
"E102028","27227","18240","81","BMD","225000","42",,"20160901","99991231","1"
"E101954","27076","18163","81","GBP","0","42",,"20160629","20170103","1"
"E101955","27078","18164","81","GBP","85000","42",,"20160907","99991231","1"
"E101956","27080","18165","81","GBP","50000","42",,"20160817","99991231","1"
"E101957","27082","18166","81","GBP","105000","42",,"20160803","99991231","1"
"E101958","27084","18167","81","GBP","106000","42",,"20160907","99991231","1"
"E101959","27087","18168","81","GBP","117857.14","42",,"20161001","99991231","1"
"E101960","27089","18169","81","GBP","0","42",,"20160713","99991231","1"
"E101961","27092","18170","81","GBP","0","42",,"20160713","99991231","1"
"E101962","27096","18171","81","EUR","160000","42",,"20161007","99991231","1"
"E101963","27098","18172","81","GBP","28000","42",,"20160817","99991231","1"
"E101964","27101","18173","81","GBP","60000","42",,"20160720","99991231","1"
"E101965","27103","18174","81","CHF","57056.65","42",,"20160713","99991231","1"
"E101966","27105","18175","81","USD","350000","42",,"20160707","99991231","1"
"E101967","27107","18176","81","GBP","0","42",,"20160714","99991231","1"
"E101968","27108","18177","81","GBP","68000","42",,"20160803","99991231","1"
"E101969","27110","18178","81","GBP","100000","42",,"20160928","99991231","1"
"E101970","27112","18179","81","GBP","140000","42",,"20161019","99991231","1"
"E101971","27114","18180","81","USD","200000","42",,"20160715","20170105","1"
"E101972","27115","18181","81","USD","0","42",,"20160602","99991231","1"
"E101973","27117","18182","81","USD","17550","42",,"20160706","99991231","1"
"E101974","27119","18183","81","USD","85000","42",,"20160720","99991231","1"
"E101975","27121","18184","81","USD","275000","42",,"20160720","99991231","1"
"E101976","27123","18185","81","GBP","24000","42",,"20160818","20161231","1"
"E101977","27125","18186","81","GBP","0","42",,"20160727","99991231","1"
"E101978","27126","18187","81","GBP","100000","42",,"20161102","99991231","1"
"E101979","27128","18188","81","GBP","0","42",,"20160724","99991231","1"
"E101980","27130","18189","81","GBP","25000","42",,"20160817","20161031","1"
"E101980","27132","18190","81","GBP","25250","42",,"20161101","20161231","1"
"E101981","27133","18191","81","GBP","22000","42",,"20160901","99991231","1"
"E101982","27135","18192","81","USD","165000","42",,"20160724","99991231","1"
"E101983","27136","18193","81","CHF","140000","42",,"20161116","99991231","1"
"E101984","27137","18194","81","GBP","24000","42",,"20160824","99991231","1"
"E101985","27138","18195","81","GBP","0","42",,"20160803","99991231","1"
"E101986","27139","18196","81","GBP","80000","42",,"20161026","99991231","1"
"E101987","27140","18197","81","USD","65000","42",,"20160803","20161217","1"
"E101988","27141","18198","81","GBP","95000","42",,"20160901","99991231","1"
"E101989","27142","18199","81","USD","59000","42",,"20160803","20170331","1"
"E101989","27144","18200","81","USD","60800","42",,"20170401","99991231","1"
"E101990","27147","18201","81","USD","29250","42",,"20160803","99991231","1"
"E101163","27077","18686","81","GBP","27000","42",,"20140425","20141231","1"
"E101163","27079","18688","81","GBP","29200","42",,"20150101","20150331","1"
"E101163","27081","18689","81","GBP","29700","42",,"20150401","20160331","1"
"E101163","27083","18690","81","GBP","30700","42",,"20160401","99991231","1"
"E101164","27085","18691","81","USD","300000","42",,"20140204","20150331","1"
"E101164","27086","18693","81","USD","309000","42",,"20150401","20160331","1"
"E101164","27088","18695","81","USD","318270","42",,"20160401","99991231","1"
"E101165","27090","18696","81","GBP","47000","42",,"20140513","20140731","1"
"E101165","27091","18697","81","GBP","49000","42",,"20140801","20150331","1"
"E101165","27093","18699","81","GBP","50470","42",,"20150401","20150430","1"
"E101165","27094","18701","81","GBP","50720","42",,"20150501","20150731","1"
"E101165","27095","18702","81","GBP","53720","42",,"20150801","20150831","1"
"E101165","27097","18704","81","GBP","54470","42",,"20150901","20151231","1"
"E101165","27099","18706","81","GBP","55970","42",,"20160101","20160101","1"
"E101165","27100","18708","81","GBP","80000","42",,"20160102","99991231","1"
"E101166","27102","18710","81","GBP","27000","42",,"20140902","20150331","1"
"E101166","27104","18711","81","GBP","27500","42",,"20150401","20150630","1"
"E101166","27106","18713","81","GBP","29750","42",,"20150701","20151130","1"
"E101166","27109","18714","81","GBP","32000","42",,"20151201","20160331","1"
"E101166","27111","18716","81","GBP","33000","42",,"20160401","20160731","1"
"E101166","27113","18718","81","GBP","35000","42",,"20160801","20160831","1"
"E101166","27116","18720","81","GBP","35250","42",,"20160901","20160901","1"
"E101166","27118","18722","81","GBP","43250","42",,"20160902","20161231","1"
"E101167","27120","18724","81","USD","150000","42",,"20140211","20150331","1"
"E101167","27122","18726","81","USD","153000","42",,"20150401","99991231","1"
"E101168","27124","18728","81","GBP","53000","42",,"20140226","99991231","1"
"E101169","27127","18730","81","GBP","70000","42",,"20140218","20140518","1"
"E101169","27129","18732","81","GBP","74000","42",,"20140519","20150331","1"
"E101169","27131","18734","81","GBP","75500","42",,"20150401","99991231","1"
"E101170","27134","18736","81","GBP","52000","42",,"20140422","20150331","1"
"E101945","27058","18154","81","USD","17062.5","42",,"20160629","99991231","1"
"E101946","27060","18155","81","USD","165000","42",,"20160706","99991231","1"
"E101947","27062","18156","81","USD","170000","42",,"20160713","99991231","1"
"E101948","27064","18157","81","USD","55000","42",,"20160706","99991231","1"
"E101949","27066","18158","81","USD","220000","42",,"20160706","99991231","1"
"E101950","27068","18159","81","USD","95000","42",,"20160708","99991231","1"
"E101951","27070","18160","81","USD","85000","42",,"20160708","99991231","1"
"E101952","27072","18161","81","GBP","75000","42",,"20160928","99991231","1"
"E101953","27074","18162","81","GBP","0","42",,"20160707","99991231","1"
"E101346","27651","19511","81","GBP","34000","42",,"20160401","99991231","1"
"E101347","27652","19512","81","GBP","45000","42",,"20141111","20160331","1"
"E101347","27653","19513","81","GBP","46350","42",,"20160401","20161231","1"
"E101347","27654","19514","81","GBP","37080","42",,"20170101","99991231","1"
"E101348","27655","19515","81","GBP","0","42",,"20140729","99991231","1"
"E101349","27656","19516","81","USD","0","42",,"20140722","20141020","1"
"E101349","27657","19517","81","USD","90000","42",,"20141021","20160331","1"
"E101349","27658","19518","81","USD","92700","42",,"20160401","99991231","1"
"E101350","27659","19519","81","USD","100000","42",,"20140808","20150331","1"
"E101350","27660","19520","81","USD","104500","42",,"20150401","20160331","1"
"E101350","27661","19521","81","USD","107640","42",,"20160401","99991231","1"
"E101351","27662","19522","81","GBP","95000","42",,"20140903","20150608","1"
"E101351","27663","19523","81","GBP","0","42",,"20150609","99991231","1"
"E101352","27664","19524","81","GBP","0","42",,"20140701","99991231","1"
"E101353","27665","19525","81","GBP","0","42",,"20140701","99991231","1"
"E101354","27666","19526","81","GBP","0","42",,"20140819","20141130","1"
"E101354","27667","19527","81","GBP","95000","42",,"20141201","99991231","1"
"E101355","27668","19528","81","GBP","0","42",,"20140812","99991231","1"
"E101356","27669","19529","81","GBP","0","42",,"20140622","20140721","1"
"E101356","27670","19530","81","BMD","75200","42",,"20140722","20150331","1"
"E101356","27671","19531","81","BMD","75520","42",,"20150401","20160331","1"
"E101356","27672","19532","81","BMD","77100","42",,"20160401","99991231","1"
"E101357","27673","19533","81","GBP","0","42",,"20140812","99991231","1"
"E101358","27674","19534","81","USD","0","42",,"20140806","99991231","1"
"E101359","27675","19535","81","USD","0","42",,"20140819","99991231","1"
"E101360","27676","19536","81","USD","65000","42",,"20140812","20150302","1"
"E101360","27677","19537","81","USD","68000","42",,"20150303","20150331","1"
"E101360","27678","19538","81","USD","69790","42",,"20150401","20160115","1"
"E101360","27679","19539","81","USD","80000","42",,"20160116","20160331","1"
"E101360","27680","19540","81","USD","81310","42",,"20160401","99991231","1"
"E101361","27681","19541","81","GBP","0","42",,"20140812","99991231","1"
"E101362","27682","19542","81","GBP","45000","42",,"20141118","20150630","1"
"E101362","27683","19543","81","GBP","45750","42",,"20150701","20151130","1"
"E101362","27684","19544","81","GBP","46500","42",,"20151201","20151231","1"
"E101362","27685","19545","81","GBP","48500","42",,"20160101","20160331","1"
"E101362","27686","19546","81","GBP","49900","42",,"20160401","99991231","1"
"E101363","27687","19547","81","USD","300000","42",,"20140903","20150331","1"
"E101363","27688","19548","81","USD","309000","42",,"20150401","20160331","1"
"E101363","27689","19549","81","USD","321360","42",,"20160401","99991231","1"
"E101545","28079","19920","81","SGD","369000","42",,"20160401","99991231","1"
"E101546","28080","19922","81","GBP","82000","42",,"20150721","99991231","1"
"E101547","28081","19924","81","GBP","0","42",,"20150409","20150630","1"
"E101547","28082","19926","81","GBP","20000","42",,"20150701","20160331","1"
"E101547","28083","19928","81","GBP","23000","42",,"20160401","99991231","1"
"E101548","28084","19930","81","GBP","17500","42",,"20150804","99991231","1"
"E101549","28085","19932","81","GBP","0","42",,"20150707","99991231","1"
"E101550","28086","19934","81","USD","100000","42",,"20150421","20160331","1"
"E101550","28087","19936","81","USD","102700","42",,"20160401","99991231","1"
"E101551","28088","19938","81","USD","0","42",,"20150414","99991231","1"
"E101552","28089","19940","81","USD","0","42",,"20150324","20160104","1"
"E101552","28090","19942","81","USD","55000","42",,"20160105","99991231","1"
"E101553","28091","19944","81","USD","215000","42",,"20150414","20160331","1"
"E101553","28092","19946","81","USD","219500","42",,"20160401","20170105","1"
"E101554","28093","19948","81","USD","105000","42",,"20150421","20160331","1"
"E101554","28094","19950","81","USD","111300","42",,"20160401","99991231","1"
"E101555","28095","19952","81","USD","135000","42",,"20150422","20160331","1"
"E100087","28890","11631","58","GBP","40","42",,"20100401","20110331","1"
"E100087","28891","11636","58","GBP","40","42",,"20110401","20110930","1"
"E100087","28892","11642","58","GBP","50","42",,"20111001","20120331","1"
"E100087","28894","11647","58","GBP","60","42",,"20120401","20130331","1"
"E100087","28896","11651","58","GBP","60","42",,"20130401","20140331","1"
"E100087","28898","11657","58","GBP","60","42",,"20140401","20140630","1"
"E100087","28901","11663","58","GBP","60","42",,"20140701","20150630","1"
"E100087","28904","11668","58","GBP","60","42",,"20150701","20160331","1"
"E100087","28905","11673","58","GBP","60","42",,"20160401","99991231","1"
"E100088","28907","11678","58","USD","0","42",,"20051029","20070331","1"
"E100088","28909","11682","58","USD","0","42",,"20070401","20070806","1"
"E100088","28913","11686","58","USD","25","42",,"20070807","20080331","1"
"E100088","28914","11692","58","USD","25","42",,"20080401","20080531","1"
"E100088","28915","11697","58","USD","40","42",,"20080601","20090331","1"
"E100152","28916","11301","58","GBP","40","42",,"20100901","20110331","1"
"E100152","28917","11305","58","GBP","40","42",,"20110401","20120331","1"
"E100152","28918","11310","58","GBP","40","42",,"20120401","20130331","1"
"E100152","28919","11314","58","GBP","40","42",,"20130401","20131130","1"
"E100152","28920","11319","58","GBP","40","42",,"20131201","20140331","1"
"E100086","28848","11541","58","BMD","20","42",,"20080401","20090331","1"
"E100151","28895","11219","58","USD","35","42",,"20100302","20130401","1"
"E100084","28801","11382","58","GBP","15","42",,"20131029","20140331","1"
"E100084","28802","11386","58","GBP","15","42",,"20140401","20160331","1"
"E100151","28897","11225","58","USD","15","42",,"20130402","20140331","1"
"E100151","28899","11232","58","USD","15","42",,"20140401","20141130","1"
"E100084","28804","11390","58","GBP","15","42",,"20160401","99991231","1"
"E100151","28900","11236","58","USD","25","42",,"20141201","20150331","1"
"E100085","28806","11394","58","GBP","0","42",,"20050329","20060331","1"
"E100151","28902","11247","58","USD","25","42",,"20150401","20160331","1"
"E100151","28903","11252","58","USD","25","42",,"20160401","99991231","1"
"E100085","28807","11408","58","GBP","0","42",,"20060401","20061031","1"
"E100085","28808","11415","58","GBP","0","42",,"20061101","20070331","1"
"E100152","28906","11256","58","GBP","0","42",,"20070130","20070806","1"
"E100085","28809","11421","58","GBP","0","42",,"20070401","20070806","1"
"E101555","28096","19954","81","USD","139050","42",,"20160401","99991231","1"
"E101556","28097","19956","81","GBP","0","42",,"20150422","99991231","1"
"E101557","28098","19957","81","GBP","60000","42",,"20150804","20160331","1"
"E101557","28099","19958","81","GBP","65000","42",,"20160401","20160731","1"
"E101557","28100","19959","81","GBP","65000","42",,"20160801","99991231","1"
"E101558","28101","19960","81","USD","0","42",,"20150428","99991231","1"
"E101559","28102","19961","81","USD","0","42",,"20150421","99991231","1"
"E101560","28103","19962","81","GBP","0","42",,"20150519","99991231","1"
"E101561","28104","19963","81","GBP","0","42",,"20150707","99991231","1"
"E101562","28105","19964","81","USD","200000","42",,"20150428","20151031","1"
"E101562","28106","19965","81","USD","219000","42",,"20151101","20160331","1"
"E101562","28107","19966","81","USD","228000","42",,"20160401","99991231","1"
"E101563","28108","19968","81","GBP","35000","42",,"20150514","20151207","1"
"E101563","28109","19969","81","GBP","40000","42",,"20151208","20160213","1"
"E101563","28110","19970","81","GBP","50000","42",,"20160214","20170207","1"
"E101564","28111","19971","81","USD","240000","42",,"20150428","20160331","1"
"E101564","28112","19972","81","USD","248750","42",,"20160401","99991231","1"
"E101565","28113","19973","81","GBP","0","42",,"20150502","99991231","1"
"E101566","28114","19974","81","USD","80000","42",,"20150505","20160331","1"
"E101566","28115","19975","81","USD","84000","42",,"20160401","20160930","1"
"E101566","28116","19976","81","USD","92500","42",,"20161001","99991231","1"
"E101567","28117","19977","81","GBP","0","42",,"20150506","99991231","1"
"E101530","28042","19845","81","GBP","29100","42",,"20160901","20161231","1"
"E101531","28043","19847","81","CHF","180000","42",,"20150701","20160331","1"
"E101531","28044","19849","81","CHF","184050","42",,"20160401","99991231","1"
"E101532","28045","19851","81","USD","165000","42",,"20150331","20150930","1"
"E101532","28046","19853","81","USD","180000","42",,"20151001","20160331","1"
"E101532","28047","19855","81","USD","187000","42",,"20160401","99991231","1"
"E101533","28048","19857","81","USD","50000","42",,"20150331","20160331","1"
"E101533","28049","19859","81","USD","51500","42",,"20160401","99991231","1"
"E101534","28050","19861","81","CHF","72000","42",,"20150414","20151231","1"
"E101534","28051","19863","81","CHF","72000","42",,"20160101","99991231","1"
"E101535","28052","19865","81","GBP","165000","42",,"20150407","99991231","1"
"E101536","28053","19867","81","GBP","0","42",,"20150407","20150511","1"
"E101536","28054","19869","81","GBP","36000","42",,"20150512","20160331","1"
"E101536","28055","19871","81","GBP","37100","42",,"20160401","99991231","1"
"E101537","28056","19873","81","USD","48750","42",,"20150331","99991231","1"
"E101538","28057","19875","81","GBP","62500","42",,"20150707","20151130","1"
"E101538","28058","19877","81","GBP","65000","42",,"20151201","20160331","1"
"E101538","28059","19879","81","GBP","67500","42",,"20160401","99991231","1"
"E101539","28060","19881","81","GBP","0","42",,"20150402","99991231","1"
"E101540","28061","19883","81","USD","70000","42",,"20150407","20160331","1"
"E101540","28062","19886","81","USD","72100","42",,"20160401","99991231","1"
"E101541","28063","19888","81","GBP","0","42",,"20150402","99991231","1"
"E101542","28064","19890","81","GBP","30000","42",,"20150506","20150731","1"
"E101542","28065","19892","81","GBP","30250","42",,"20150801","20150930","1"
"E101542","28066","19894","81","GBP","30500","42",,"20151001","20160228","1"
"E101542","28067","19896","81","GBP","31000","42",,"20160301","20160331","1"
"E101542","28068","19898","81","GBP","31700","42",,"20160401","20160630","1"
"E101542","28069","19900","81","GBP","31950","42",,"20160701","20160930","1"
"E101542","28070","19902","81","GBP","32200","42",,"20161001","20161231","1"
"E101543","28071","19904","81","GBP","25000","42",,"20150512","20151031","1"
"E101543","28072","19906","81","GBP","25250","42",,"20151101","20151130","1"
"E101543","28073","19908","81","GBP","25550","42",,"20151201","20151231","1"
"E101543","28074","19910","81","GBP","26100","42",,"20160101","20160331","1"
"E101543","28075","19912","81","GBP","28800","42",,"20160401","99991231","1"
"E101544","28076","19914","81","GBP","52500","42",,"20150701","20160331","1"
"E101544","28077","19916","81","GBP","53550","42",,"20160401","99991231","1"
"E101545","28078","19918","81","SGD","360000","42",,"20150501","20160331","1"
"E101530","28041","19843","81","GBP","28500","42",,"20160401","20160831","1"
"E101151","27011","18614","81","USD","60000","42",,"20140101","20150331","1"
"E101151","27013","18616","81","USD","61500","42",,"20150401","99991231","1"
"E101152","27015","18618","81","USD","70000","42",,"20140107","20150331","1"
"E101152","27017","18620","81","USD","72100","42",,"20150401","20160331","1"
"E101152","27019","18622","81","USD","82100","42",,"20160401","99991231","1"
"E101153","27021","18624","81","GBP","120000","42",,"20140128","20150331","1"
"E101153","27023","18626","81","GBP","123600","42",,"20150401","99991231","1"
"E101154","27025","18628","81","GBP","22000","42",,"20140204","20140731","1"
"E101154","27027","18630","81","GBP","24000","42",,"20140801","20140930","1"
"E101154","27030","18632","81","GBP","24250","42",,"20141001","20141130","1"
"E101154","27032","18634","81","GBP","24500","42",,"20141201","20141231","1"
"E101154","27034","18636","81","GBP","24750","42",,"20150101","20150331","1"
"E101154","27036","18638","81","GBP","26250","42",,"20150401","20150630","1"
"E101154","27038","18640","81","GBP","26750","42",,"20150701","20151231","1"
"E101154","27040","18642","81","GBP","27300","42",,"20160101","20160131","1"
"E101154","27042","18643","81","GBP","30000","42",,"20160201","20160630","1"
"E101154","27044","18645","81","GBP","30300","42",,"20160701","20160831","1"
"E101154","27045","18646","81","GBP","30600","42",,"20160901","20161031","1"
"E101154","27046","18648","81","GBP","30900","42",,"20161101","20161130","1"
"E101155","27047","18649","81","GBP","0","42",,"20140122","20141124","1"
"E101155","27048","18651","81","GBP","0","42",,"20141125","20160630","1"
"E101155","27049","18652","81","GBP","0","42",,"20160701","99991231","1"
"E101156","27050","18654","81","GBP","0","42",,"20140128","99991231","1"
"E101157","27051","18655","81","GBP","75000","42",,"20140128","20150331","1"
"E101157","27052","18657","81","GBP","77250","42",,"20150401","20160331","1"
"E101157","27053","18658","81","GBP","79950","42",,"20160401","99991231","1"
"E101158","27054","18660","81","GBP","38000","42",,"20140304","20141031","1"
"E101158","27055","18661","81","GBP","45000","42",,"20141101","20150131","1"
"E101158","27056","18663","81","GBP","45000","42",,"20150201","20150331","1"
"E101158","27057","18665","81","GBP","46500","42",,"20150401","20160331","1"
"E101158","27059","18667","81","GBP","48500","42",,"20160401","99991231","1"
"E101159","27061","18669","81","GBP","0","42",,"20140218","99991231","1"
"E101160","27063","18672","81","GBP","0","42",,"20140211","20140303","1"
"E101160","27065","18674","81","GBP","35000","42",,"20140304","99991231","1"
"E101161","27067","18676","81","GBP","0","42",,"20140114","99991231","1"
"E101162","27069","18678","81","GBP","0","42",,"20140204","20141110","1"
"E101162","27071","18680","81","GBP","36000","42",,"20141111","20150430","1"
"E101162","27073","18682","81","GBP","39150","42",,"20150501","20160802","1"
"E101162","27075","18684","81","GBP","0","42",,"20160803","99991231","1"
"E101331","27613","19473","81","GBP","24300","42",,"20150402","20150430","1"
"E101331","27614","19474","81","GBP","24550","42",,"20150501","20151231","1"
"E101331","27615","19475","81","GBP","25050","42",,"20160101","20160331","1"
"E101331","27616","19476","81","GBP","27550","42",,"20160401","20160531","1"
"E101331","27617","19477","81","GBP","27800","42",,"20160601","20161231","1"
"E101332","27618","19478","81","GBP","55000","42",,"20140827","20150331","1"
"E101332","27619","19479","81","GBP","56500","42",,"20150401","20160331","1"
"E101332","27620","19480","81","GBP","62000","42",,"20160401","20160831","1"
"E101332","27621","19481","81","GBP","70000","42",,"20160901","99991231","1"
"E101333","27622","19482","81","GBP","0","42",,"20140812","99991231","1"
"E101334","27623","19483","81","USD","210000","42",,"20140722","20150331","1"
"E101334","27624","19484","81","USD","217880","42",,"20150401","20160331","1"
"E101334","27625","19485","81","USD","224400","42",,"20160401","99991231","1"
"E101335","27626","19486","81","CHF","56400","42",,"20140812","99991231","1"
"E101336","27627","19487","81","GBP","30000","42",,"20140815","20150331","1"
"E101336","27628","19488","81","GBP","30900","42",,"20150401","99991231","1"
"E101337","27629","19489","81","GBP","50000","42",,"20140902","20150331","1"
"E101337","27630","19490","81","GBP","51000","42",,"20150401","20160331","1"
"E101337","27631","19491","81","GBP","52530","42",,"20160401","99991231","1"
"E101338","27632","19492","81","GBP","0","42",,"20140730","99991231","1"
"E101339","27633","19493","81","GBP","0","42",,"20140722","99991231","1"
"E101340","27634","19494","81","GBP","0","42",,"20140730","99991231","1"
"E101341","27635","19495","81","GBP","0","42",,"20140729","99991231","1"
"E101342","27636","19496","81","GBP","70000","42",,"20141028","20160331","1"
"E101342","27637","19497","81","GBP","72100","42",,"20160401","99991231","1"
"E101343","27638","19498","81","GBP","130000","42",,"20140805","20150331","1"
"E101343","27639","19499","81","GBP","135850","42",,"20150401","20150630","1"
"E101343","27640","19500","81","GBP","135850","42",,"20150701","20160331","1"
"E101343","27641","19501","81","GBP","139930","42",,"20160401","99991231","1"
"E101344","27642","19502","81","GBP","45000","42",,"20140812","20150331","1"
"E101344","27643","19503","81","GBP","46300","42",,"20150401","20160331","1"
"E101344","27644","19504","81","GBP","47700","42",,"20160401","99991231","1"
"E101345","27645","19505","81","USD","115000","42",,"20140812","20160228","1"
"E101345","27646","19506","81","USD","115000","42",,"20160301","20160331","1"
"E101345","27647","19507","81","USD","118450","42",,"20160401","20160630","1"
"E101345","27648","19508","81","USD","130000","42",,"20160701","99991231","1"
"E101346","27649","19509","81","GBP","30000","42",,"20140911","20150331","1"
"E101346","27650","19510","81","GBP","30900","42",,"20150401","20160331","1"
"E101331","27612","19472","81","GBP","23500","42",,"20150401","20150401","1"
"E101317","27573","19433","81","USD","150000","42",,"20141001","20160331","1"
"E101317","27574","19434","81","USD","154500","42",,"20160401","99991231","1"
"E101318","27575","19435","81","GBP","83000","42",,"20140902","20150331","1"
"E101318","27576","19436","81","GBP","85490","42",,"20150401","99991231","1"
"E101319","27577","19437","81","GBP","52000","42",,"20141001","20150331","1"
"E101319","27578","19438","81","GBP","53430","42",,"20150401","20160331","1"
"E101319","27579","19439","81","GBP","55030","42",,"20160401","99991231","1"
"E101320","27580","19440","81","GBP","50000","42",,"20140923","20150331","1"
"E101320","27581","19441","81","GBP","51250","42",,"20150401","20150731","1"
"E101320","27582","19442","81","GBP","60000","42",,"20150801","20160331","1"
"E101320","27583","19443","81","GBP","61800","42",,"20160401","99991231","1"
"E101321","27584","19444","81","GBP","220000","42",,"20140801","20141231","1"
"E101321","27585","19445","81","GBP","220000","42",,"20150101","20150331","1"
"E101321","27586","19446","81","GBP","223000","42",,"20150401","20160331","1"
"E101321","27587","19447","81","GBP","230000","42",,"20160401","99991231","1"
"E101322","27588","19448","81","GBP","27000","42",,"20140902","20150301","1"
"E101322","27589","19449","81","GBP","27500","42",,"20150302","20150331","1"
"E101322","27590","19450","81","GBP","28000","42",,"20150401","20150430","1"
"E101322","27591","19451","81","GBP","28250","42",,"20150501","20150831","1"
"E101322","27592","19452","81","GBP","28550","42",,"20150901","20160331","1"
"E101322","27593","19453","81","GBP","30750","42",,"20160401","20160831","1"
"E101322","27594","19454","81","GBP","31400","42",,"20160901","20161031","1"
"E101322","27595","19455","81","GBP","32100","42",,"20161101","20170131","1"
"E101323","27596","19456","81","GBP","0","42",,"20140708","99991231","1"
"E101324","27597","19457","81","GBP","33000","42",,"20141007","20150331","1"
"E101324","27598","19458","81","GBP","33500","42",,"20150401","20150430","1"
"E101324","27599","19459","81","GBP","41500","42",,"20150501","20160331","1"
"E101324","27600","19460","81","GBP","50000","42",,"20160401","99991231","1"
